"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL3393137";"";"None";"565.67";"1";"4.09";"2, R419";"COc1ccc(C(=O)C2CCN(C(=O)c3ccc(C(=O)NC4CCN(Cc5ccc(C#N)cc5)CC4)cn3)CC2)cc1";"EC50";"'='";"230.0";"nM";"6.64";"";"";"UO_0000065";"11.74";"0.22";"2.55";"5.74";"0";"CHEMBL3395078";"Activation of AMPK in human C2C12 cells using ACC as substrate after 2 hrs";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"C2C12";"None";"";"";"";"CHEMBL2096907";"AMP-activated protein kinase, AMPK";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL3393052";"1";"Scientific Literature";"J Med Chem";"2015";"CHEMBL3308003";"";"";"";"0.23"
"CHEMBL2153069";"";"None";"443.89";"1";"5.42";"page no 884 R16C2";"COc1cccc(-c2ccc(-c3cc4c(O)c(-n5cccn5)c(=O)[nH]c4cc3Cl)cc2)c1";"EC50";"'>'";"3162.28";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2154197";"Activation of recombinant human AMPK by FRET assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2096907";"AMP-activated protein kinase, AMPK";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL2150967";"1";"Scientific Literature";"ACS Med Chem Lett";"2012";"None";"";"";"";"5.5"
"CHEMBL5178852";"";"None";"553.66";"1";"4.04";"33";"COc1ccc(OC2CCN(C(=O)c3ccc(C(=O)NC4CCN(Cc5ccc(C#N)cc5)CC4)nc3)CC2)cc1";"EC50";"'='";"11.0";"nM";"7.96";"";"";"UO_0000065";"14.37";"0.27";"3.92";"7.38";"0";"CHEMBL5110776";"Activation of AMPK in human HepG2 cells assessed as increase in ACC phosphorylation at Ser79 incubated for 1 hr";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HepG2";"None";"";"";"";"CHEMBL2096907";"AMP-activated protein kinase, AMPK";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL5108030";"1";"Scientific Literature";"Bioorg Med Chem";"2022";"None";"TIME = 1.0 hr";"ACTIVATOR";"";"11.0"
"CHEMBL5203450";"";"None";"571.63";"1";"4.36";"34";"N#Cc1ccc(CN2CCC(NC(=O)c3ccc(C(=O)N4CCC(C(=O)c5ccc(F)cc5F)CC4)cn3)CC2)cc1";"EC50";"'='";"27.0";"nM";"7.57";"";"";"UO_0000065";"13.24";"0.25";"3.21";"7.11";"0";"CHEMBL5110776";"Activation of AMPK in human HepG2 cells assessed as increase in ACC phosphorylation at Ser79 incubated for 1 hr";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HepG2";"None";"";"";"";"CHEMBL2096907";"AMP-activated protein kinase, AMPK";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL5108030";"1";"Scientific Literature";"Bioorg Med Chem";"2022";"None";"TIME = 1.0 hr";"ACTIVATOR";"";"27.0"
"CHEMBL5184098";"";"None";"570.69";"1";"4.23";"43";"COc1ccc(CN2CCC(NC(=O)c3ccc(C(=O)N4CCC(C(=O)c5ccc(OC)cc5)CC4)nc3)CC2)cc1";"EC50";"'='";"41.0";"nM";"7.39";"";"";"UO_0000065";"12.94";"0.24";"3.16";"7.31";"0";"CHEMBL5110776";"Activation of AMPK in human HepG2 cells assessed as increase in ACC phosphorylation at Ser79 incubated for 1 hr";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HepG2";"None";"";"";"";"CHEMBL2096907";"AMP-activated protein kinase, AMPK";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL5108030";"1";"Scientific Literature";"Bioorg Med Chem";"2022";"None";"TIME = 1.0 hr";"ACTIVATOR";"";"41.0"
"CHEMBL5207987";"";"None";"609.77";"1";"4.82";"50";"COc1ccc(CN2CCC(NC(=O)c3ccc(C(=O)N4CCC(C(=O)c5ccc(N6CCCC6)cc5)CC4)nc3)CC2)cc1";"EC50";"'='";"57.0";"nM";"7.24";"";"";"UO_0000065";"11.88";"0.22";"2.42";"7.62";"0";"CHEMBL5110776";"Activation of AMPK in human HepG2 cells assessed as increase in ACC phosphorylation at Ser79 incubated for 1 hr";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HepG2";"None";"";"";"";"CHEMBL2096907";"AMP-activated protein kinase, AMPK";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL5108030";"1";"Scientific Literature";"Bioorg Med Chem";"2022";"None";"TIME = 1.0 hr";"ACTIVATOR";"";"57.0"
"CHEMBL5204428";"";"None";"554.63";"1";"3.08";"11";"N#Cc1ccc(CN2CCC(NC(=O)c3ccc(C(=O)N4CCN(C(=O)c5ccc(F)cc5)CC4)cn3)CC2)cc1";"EC50";"'='";"413.0";"nM";"6.38";"";"";"UO_0000065";"11.51";"0.21";"3.30";"5.82";"0";"CHEMBL5110776";"Activation of AMPK in human HepG2 cells assessed as increase in ACC phosphorylation at Ser79 incubated for 1 hr";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HepG2";"None";"";"";"";"CHEMBL2096907";"AMP-activated protein kinase, AMPK";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL5108030";"1";"Scientific Literature";"Bioorg Med Chem";"2022";"None";"TIME = 1.0 hr";"ACTIVATOR";"";"413.0"
"CHEMBL5170721";"";"None";"516.65";"1";"2.68";"13";"CC(C)(C)C(=O)N1CCN(C(=O)c2ccc(C(=O)NC3CCN(Cc4ccc(C#N)cc4)CC3)nc2)CC1";"EC50";"'='";"532.0";"nM";"6.27";"";"";"UO_0000065";"12.14";"0.23";"3.59";"5.72";"0";"CHEMBL5110776";"Activation of AMPK in human HepG2 cells assessed as increase in ACC phosphorylation at Ser79 incubated for 1 hr";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HepG2";"None";"";"";"";"CHEMBL2096907";"AMP-activated protein kinase, AMPK";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL5108030";"1";"Scientific Literature";"Bioorg Med Chem";"2022";"None";"TIME = 1.0 hr";"ACTIVATOR";"";"532.0"
"CHEMBL5195423";"";"None";"572.69";"1";"2.49";"14";"N#Cc1ccc(CN2CCC(NC(=O)c3ccc(C(=O)N4CCN(S(=O)(=O)c5ccccc5)CC4)cn3)CC2)cc1";"EC50";"'='";"360.0";"nM";"6.44";"";"";"UO_0000065";"11.25";"0.21";"3.95";"5.09";"0";"CHEMBL5110776";"Activation of AMPK in human HepG2 cells assessed as increase in ACC phosphorylation at Ser79 incubated for 1 hr";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HepG2";"None";"";"";"";"CHEMBL2096907";"AMP-activated protein kinase, AMPK";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL5108030";"1";"Scientific Literature";"Bioorg Med Chem";"2022";"None";"TIME = 1.0 hr";"ACTIVATOR";"";"360.0"
"CHEMBL5190618";"";"None";"590.68";"1";"2.63";"20";"N#Cc1ccc(S(=O)(=O)N2CCC(NC(=O)c3ccc(C(=O)N4CCN(Cc5ccc(F)cc5)CC4)cn3)CC2)cc1";"EC50";"'='";"804.0";"nM";"6.09";"";"";"UO_0000065";"10.32";"0.20";"3.46";"4.81";"0";"CHEMBL5110776";"Activation of AMPK in human HepG2 cells assessed as increase in ACC phosphorylation at Ser79 incubated for 1 hr";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HepG2";"None";"";"";"";"CHEMBL2096907";"AMP-activated protein kinase, AMPK";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL5108030";"1";"Scientific Literature";"Bioorg Med Chem";"2022";"None";"TIME = 1.0 hr";"ACTIVATOR";"";"804.0"
