"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL4128250";"";"None";"389.50";"0";"3.96";"1; R-IMPP, PF-00932239";"COc1ccc(CCC(=O)N(c2nccc3ccccc23)[C@@H]2CCCNC2)cc1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4383957";"Inhibition of human recombinant PCSK9 expressed in CHO-K1 cells assessed as alkaline phosphatase secretion incubated overnight and measured after 3 days by HTS assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL2929";"Proprotein convertase subtilisin/kexin type 9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4382228";"1";"Scientific Literature";"Eur J Med Chem";"2019";"CHEMBL3307512";"";"";"";"10.0"
"CHEMBL5088467";"";"None";"444.51";"0";"3.95";"1";"Cc1cnc2c(-c3ccc(C(=O)N(c4ncccc4C)[C@@H]4CCCNC4)cc3F)cnn2c1";"IC50";"'='";"1700.0";"nM";"5.77";"";"";"UO_0000065";"12.98";"0.24";"1.82";"7.65";"0";"CHEMBL5036230";"Inhibition of PCSK9 translation in human THP-1 cells by AlphaLISA assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"THP-1";"None";"";"";"";"CHEMBL2929";"Proprotein convertase subtilisin/kexin type 9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5034046";"1";"Scientific Literature";"ACS Med Chem Lett";"2022";"None";"";"INHIBITOR";"";"1.7"
"CHEMBL4112849";"";"None";"573.66";"2";"3.92";"BDBM200348";"CCOC(=O)OC(CC)n1nnc(-c2c(-c3ccc(C(=O)N(c4ncccc4C)[C@@H]4CCCNC4)cc3)cnn2C)n1";"IC50";"'='";"23700.0";"nM";"4.62";"";"356452";"UO_0000065";"8.06";"0.15";"0.71";"3.25";"0";"CHEMBL3887821";"Cell Free Assay: In order to eliminate the permeability barrier inherent to the WT7 and SCHH cell-based assays a cell-free system was also established to access compound activity. A sequence containing the full length human PCSK9 (NCBI reference identifier, NM-174936.3, where coding sequence start annotated at position 363) along with 84 additional 3â¿² nucleotides, comprising a V5 tag and polylinkinker followed by an in frame modified firefly luciferase reporter (corresponding to nucleotide positions 283-1929 of pGL3, Gen Bank reference identifier JN542721.1) was cloned into the pT7CFE1 expression vector (ThermoScientific). The construct was then in-vitro transcribed using the MEGAscript T7 Kit (Life Technologies) and RNA subsequently purified incorporating the MEGAclear Kit (Life Technologies) according to manufacturer's protocols. HeLa cell lysates were prepared following the protocols described by Mikami (reference is Cell-Free Protein Synthesis Systems with Extracts from Cultured Human Cells, S. Mikami, T. Kobayashi and H. Imataka; from Methods in Molecular Biology, vol. 607, pages 43-52, Y. Endo et al. (eds.), Humana Press, 2010) with the following modifications.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HeLa";"None";"";"";"";"CHEMBL2929";"Proprotein convertase subtilisin/kexin type 9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886461";"37";"BindingDB Patent Bioactivity Data";"";"2016";"CHEMBL3308376";"";"";"";"23700.0"
"CHEMBL4111921";"";"None";"601.71";"2";"4.56";"BDBM200352";"CCOC(=O)OC(n1nnc(-c2c(-c3ccc(C(=O)N(c4ncccc4C)[C@@H]4CCCNC4)cc3)cnn2C)n1)C(C)(C)C";"IC50";"'='";"5430.0";"nM";"5.26";"";"356455";"UO_0000065";"8.75";"0.16";"0.71";"3.70";"0";"CHEMBL3887821";"Cell Free Assay: In order to eliminate the permeability barrier inherent to the WT7 and SCHH cell-based assays a cell-free system was also established to access compound activity. A sequence containing the full length human PCSK9 (NCBI reference identifier, NM-174936.3, where coding sequence start annotated at position 363) along with 84 additional 3â¿² nucleotides, comprising a V5 tag and polylinkinker followed by an in frame modified firefly luciferase reporter (corresponding to nucleotide positions 283-1929 of pGL3, Gen Bank reference identifier JN542721.1) was cloned into the pT7CFE1 expression vector (ThermoScientific). The construct was then in-vitro transcribed using the MEGAscript T7 Kit (Life Technologies) and RNA subsequently purified incorporating the MEGAclear Kit (Life Technologies) according to manufacturer's protocols. HeLa cell lysates were prepared following the protocols described by Mikami (reference is Cell-Free Protein Synthesis Systems with Extracts from Cultured Human Cells, S. Mikami, T. Kobayashi and H. Imataka; from Methods in Molecular Biology, vol. 607, pages 43-52, Y. Endo et al. (eds.), Humana Press, 2010) with the following modifications.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HeLa";"None";"";"";"";"CHEMBL2929";"Proprotein convertase subtilisin/kexin type 9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886461";"37";"BindingDB Patent Bioactivity Data";"";"2016";"CHEMBL3308376";"";"";"";"5430.0"
"CHEMBL4112053";"";"None";"587.69";"2";"4.31";"BDBM200356";"CCC(OC(=O)OC(C)C)n1nnc(-c2c(-c3ccc(C(=O)N(c4ncccc4C)[C@@H]4CCCNC4)cc3)cnn2C)n1";"IC50";"'='";"18200.0";"nM";"4.74";"";"356459";"UO_0000065";"8.07";"0.15";"0.43";"3.33";"0";"CHEMBL3887821";"Cell Free Assay: In order to eliminate the permeability barrier inherent to the WT7 and SCHH cell-based assays a cell-free system was also established to access compound activity. A sequence containing the full length human PCSK9 (NCBI reference identifier, NM-174936.3, where coding sequence start annotated at position 363) along with 84 additional 3â¿² nucleotides, comprising a V5 tag and polylinkinker followed by an in frame modified firefly luciferase reporter (corresponding to nucleotide positions 283-1929 of pGL3, Gen Bank reference identifier JN542721.1) was cloned into the pT7CFE1 expression vector (ThermoScientific). The construct was then in-vitro transcribed using the MEGAscript T7 Kit (Life Technologies) and RNA subsequently purified incorporating the MEGAclear Kit (Life Technologies) according to manufacturer's protocols. HeLa cell lysates were prepared following the protocols described by Mikami (reference is Cell-Free Protein Synthesis Systems with Extracts from Cultured Human Cells, S. Mikami, T. Kobayashi and H. Imataka; from Methods in Molecular Biology, vol. 607, pages 43-52, Y. Endo et al. (eds.), Humana Press, 2010) with the following modifications.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HeLa";"None";"";"";"";"CHEMBL2929";"Proprotein convertase subtilisin/kexin type 9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886461";"37";"BindingDB Patent Bioactivity Data";"";"2016";"CHEMBL3308376";"";"";"";"18200.0"
"CHEMBL4110287";"";"None";"571.69";"2";"3.95";"BDBM200368";"CCC(OC(=O)C(C)C)n1nnc(-c2c(-c3ccc(C(=O)N(c4ncccc4C)[C@@H]4CCCNC4)cc3)cnn2C)n1";"IC50";"'='";"31800.0";"nM";"4.50";"";"356472";"UO_0000065";"7.87";"0.15";"0.55";"3.38";"0";"CHEMBL3887821";"Cell Free Assay: In order to eliminate the permeability barrier inherent to the WT7 and SCHH cell-based assays a cell-free system was also established to access compound activity. A sequence containing the full length human PCSK9 (NCBI reference identifier, NM-174936.3, where coding sequence start annotated at position 363) along with 84 additional 3â¿² nucleotides, comprising a V5 tag and polylinkinker followed by an in frame modified firefly luciferase reporter (corresponding to nucleotide positions 283-1929 of pGL3, Gen Bank reference identifier JN542721.1) was cloned into the pT7CFE1 expression vector (ThermoScientific). The construct was then in-vitro transcribed using the MEGAscript T7 Kit (Life Technologies) and RNA subsequently purified incorporating the MEGAclear Kit (Life Technologies) according to manufacturer's protocols. HeLa cell lysates were prepared following the protocols described by Mikami (reference is Cell-Free Protein Synthesis Systems with Extracts from Cultured Human Cells, S. Mikami, T. Kobayashi and H. Imataka; from Methods in Molecular Biology, vol. 607, pages 43-52, Y. Endo et al. (eds.), Humana Press, 2010) with the following modifications.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HeLa";"None";"";"";"";"CHEMBL2929";"Proprotein convertase subtilisin/kexin type 9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886461";"37";"BindingDB Patent Bioactivity Data";"";"2016";"CHEMBL3308376";"";"";"";"31800.0"
"CHEMBL4107907";"";"None";"432.92";"0";"3.84";"45; PF-06378503";"O=C(c1ccc(-c2cnn3cccnc23)cc1)N(c1ncccc1Cl)[C@@H]1CCCNC1";"IC50";"'='";"300.0";"nM";"6.52";"";"";"UO_0000065";"15.07";"0.29";"2.68";"8.65";"0";"CHEMBL5232231";"Inhibition of human C-terminal V5 epitope tagged PCSK9 by luciferase reporter assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2929";"Proprotein convertase subtilisin/kexin type 9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5230139";"1";"Scientific Literature";"J Med Chem";"2021";"None";"";"INHIBITOR";"";"0.3"
"CHEMBL5425722";"";"None";"387.40";"0";"0.08";"3v";"COC(=O)CNc1nc2c(c(=O)n(C)c(=O)n2C)n1Cc1cccc(OC)c1";"IC50";"'='";"11900.0";"nM";"4.92";"";"";"UO_0000065";"12.71";"0.24";"4.84";"4.50";"0";"CHEMBL5333523";"Inhibition of PCSK9 transcriptional activity in human HepG2 cells stably expressing luciferase reporter plasmid containing PCSK9 promoter assessed as decrease in luciferase activity incubated for 24 hrs by Luciferase assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HepG2";"None";"";"";"";"CHEMBL2929";"Proprotein convertase subtilisin/kexin type 9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5331095";"1";"Scientific Literature";"Eur J Med Chem";"2023";"None";"TIME = 24.0 hr";"INHIBITOR";"";"11.9"
"CHEMBL5395324";"";"None";"408.26";"0";"0.65";"5l";"Cn1c(=O)c2c(nc(NCCO)n2Cc2ccccc2Br)n(C)c1=O";"IC50";"'='";"24200.0";"nM";"4.62";"";"";"UO_0000065";"11.31";"0.25";"3.97";"4.91";"0";"CHEMBL5333523";"Inhibition of PCSK9 transcriptional activity in human HepG2 cells stably expressing luciferase reporter plasmid containing PCSK9 promoter assessed as decrease in luciferase activity incubated for 24 hrs by Luciferase assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HepG2";"None";"";"";"";"CHEMBL2929";"Proprotein convertase subtilisin/kexin type 9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5331095";"1";"Scientific Literature";"Eur J Med Chem";"2023";"None";"TIME = 24.0 hr";"INHIBITOR";"";"24.2"
"CHEMBL4227325";"";"None";"1902.30";"None";"None";"37";"CC[C@H](C)[C@H](NC(=O)[C@H](CCCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CO)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CCSC)C(C)C)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O";"IC50";"'='";"840.0";"nM";"6.08";"";"";"UO_0000065";"3.19";"None";"None";"None";"0";"CHEMBL5236432";"Inhibition of human PCSK9 preincubated for 30 mins followed by ab20 addition and measured after 2 hrs by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2929";"Proprotein convertase subtilisin/kexin type 9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5233285";"1";"Scientific Literature";"J Med Chem";"2022";"None";"TIME = 2.5 hr";"INHIBITOR";"";"0.84"
